,Product Line,Package Name,Package ID,Index,Parameter,Legacy,K8s,Status
2261,IST,C5900,67336,643.0,tagName,-,TCDTBT,only found in k8s
2262,IST,C5900,67336,643.0,tagAlias,-,TCDTBT,only found in k8s
2263,IST,C5900,67336,643.0,value,-,-16.8402099609375,only found in k8s
2264,IST,C5900,67336,75.0,siteTime,-,2023-09-27T12:10:00Z,only found in k8s
2265,IST,C5900,67336,75.0,tagName,-,DMA_G_AP_res,only found in k8s
2266,IST,C5900,67336,75.0,tagAlias,-,DMA_G_AP_res,only found in k8s
2267,IST,C5900,67336,75.0,value,-,25.952800750732422,only found in k8s
2268,IST,C5900,67336,644.0,siteTime,-,2023-09-27T12:11:36Z,only found in k8s
2269,IST,C5900,67336,644.0,tagName,-,TCDTBT,only found in k8s
2270,IST,C5900,67336,644.0,tagAlias,-,TCDTBT,only found in k8s
2271,IST,C5900,67336,644.0,value,-,-16.8402099609375,only found in k8s
2272,IST,C5900,67336,645.0,siteTime,-,2023-09-27T12:12:36Z,only found in k8s
2273,IST,C5900,67336,645.0,tagName,-,TCDTBT,only found in k8s
2274,IST,C5900,67336,645.0,tagAlias,-,TCDTBT,only found in k8s
2275,IST,C5900,67336,645.0,value,-,-16.493011474609375,only found in k8s
2276,IST,C5900,67336,646.0,siteTime,-,2023-09-27T12:13:37Z,only found in k8s
2277,IST,C5900,67336,646.0,tagName,-,TCDTBT,only found in k8s
2278,IST,C5900,67336,646.0,tagAlias,-,TCDTBT,only found in k8s
2279,IST,C5900,67336,646.0,value,-,-16.493011474609375,only found in k8s
2280,IST,C5900,67336,647.0,siteTime,-,2023-09-27T12:14:37Z,only found in k8s
2281,IST,C5900,67336,647.0,tagName,-,TCDTBT,only found in k8s
2282,IST,C5900,67336,647.0,tagAlias,-,TCDTBT,only found in k8s
2283,IST,C5900,67336,647.0,value,-,-15.972198486328125,only found in k8s
2284,IST,C5900,67336,648.0,siteTime,-,2023-09-27T12:16:36Z,only found in k8s
2285,IST,C5900,67336,648.0,tagName,-,TCDTBT,only found in k8s
2286,IST,C5900,67336,648.0,tagAlias,-,TCDTBT,only found in k8s
2287,IST,C5900,67336,648.0,value,-,-15.972198486328125,only found in k8s
2288,IST,C5900,67336,649.0,siteTime,-,2023-09-27T12:17:36Z,only found in k8s
2289,IST,C5900,67336,649.0,tagName,-,TCDTBT,only found in k8s
2290,IST,C5900,67336,649.0,tagAlias,-,TCDTBT,only found in k8s
